price,rooms,area,location
2.195 €,4 Zi.,130.92 m²,locationWien (Josefstadt)
829 €,2 Zi.,41.25 m²,locationWien (Rudolfsheim-Fünfhaus)
715 €,1 Zi.,30.16 m²,locationWien (Rudolfsheim-Fünfhaus)
"752,63 €",2 Zi.,66.32 m²,locationHofstetten
995 €,2 Zi.,41.65 m²,locationWien (Margareten)
1.199 €,3 Zi.,53.74 m²,locationWien (Margareten)
925 €,2 Zi.,43.47 m²,locationWien (Margareten)
1.199 €,3 Zi.,53.74 m²,locationWien (Margareten)
925 €,2 Zi.,43.47 m²,locationWien (Margareten)
995 €,2 Zi.,41.65 m²,locationWien (Margareten)
1.333 €,2 Zi.,52 m²,locationInnsbruck-Stadt (Mühlau)
"1.127,24 €",3 Zi.,63.94 m²,locationWien (Hernals)
"868,51 €",3 Zi.,74.49 m²,locationPottenbrunn (Pottenbrunn)
"828,11 €",2 Zi.,54.67 m²,locationWien (Floridsdorf)
480 €,2 Zi.,40 m²,locationMauthausen
"1.426,45 €",2 Zi.,76.9 m²,locationWien (Wieden)
"872,91 €",2 Zi.,46.81 m²,locationWien (Donaustadt)
"799,80 €",2 Zi.,39.48 m²,locationWien (Floridsdorf)
"1.606,50 €",3 Zi.,78.38 m²,locationWien (Floridsdorf)
"1.052,99 €",2 Zi.,52.44 m²,locationWien (Floridsdorf)
"800,53 €",2 Zi.,42.59 m²,locationWien (Donaustadt)
"512,02 €",1 Zi.,41.39 m²,locationPaldau
2.145 €,3 Zi.,104 m²,locationWien (Innere Stadt)
1.695 €,3 Zi.,106.84 m²,locationWien (Leopoldstadt)
1.590 €,3 Zi.,82.36 m²,locationSalzburg (Leopoldskron)
1.185 €,2 Zi.,64.6 m²,locationThalgau
"843,88 €",2.5 Zi.,70.88 m²,"locationGraz,01.Bez.:Innere Stadt (Jakomini)"
899 €,3 Zi.,68.16 m²,locationLinz (Linz)
"1.483,68 €",2 Zi.,70 m²,locationWien (Alsergrund)
"650,10 €",1 Zi.,39 m²,locationGraz (Waltendorf)
"856,90 €",2 Zi.,71.06 m²,locationWien (Meidling)
"595,90 €",2 Zi.,44.38 m²,locationGraz (Wetzelsdorf)
"579,69 €",2 Zi.,41.55 m²,locationGraz (Wetzelsdorf)
"777,24 €",3 Zi.,99 m²,locationKematen/Ybbs
1.760 €,4 Zi.,94.23 m²,"locationWien, Favoriten (Favoriten)"
1.540 €,3 Zi.,78.9 m²,"locationWien, Favoriten (Favoriten)"
"698,76 €",2 Zi.,40.19 m²,locationWien (Brigittenau)
"787,60 €",2 Zi.,53 m²,locationWien (Donaustadt)
"840,40 €",2 Zi.,57.02 m²,locationWien (Brigittenau)
"626,48 €",2 Zi.,53.2 m²,locationSteyr (Jägerberg)
"650,02 €",2 Zi.,53.2 m²,locationSteyr (Jägerberg)
"617,74 €",2 Zi.,58.5 m²,locationSteyr (Steyr)
"682,47 €",3 Zi.,62.4 m²,locationSteyr (Steyr)
"512,22 €",,40.79 m²,locationSteyr (Steyr)
"863,16 €",2 Zi.,60.77 m²,locationLinz (Pöstlingberg)
"530,47 €",1 Zi.,44.83 m²,locationPöchlarn
"906,08 €",4 Zi.,89.82 m²,locationArtstetten-Pöbring
1.795 €,4 Zi.,130 m²,locationWien (Leopoldstadt)
1.695 €,3 Zi.,107 m²,locationWien (Leopoldstadt)
1.345 €,3 Zi.,81.56 m²,locationWien (Leopoldstadt)
1.345 €,2 Zi.,82.26 m²,locationWien (Alsergrund)
1.995 €,3 Zi.,103 m²,locationWien (Innere Stadt)
1.995 €,3 Zi.,112.16 m²,locationWien (Mariahilf)
"789,55 €",2 Zi.,49 m²,locationKlagenfurt (Annabichl)
1.100 €,3 Zi.,81.4 m²,locationSalzburg (Salzburg)
"739,88 €",2 Zi.,47 m²,locationLinz (Linz)
"407,90 €",2 Zi.,46 m²,locationNatternbach
"783,92 €",2 Zi.,56.41 m²,locationGramastetten
"524,12 €",2 Zi.,50.88 m²,locationGramastetten
"1.395,01 €",3 Zi.,88.14 m²,locationWien (Mariahilf)
995 €,2 Zi.,62.4 m²,locationWien (Mariahilf)
950 €,3 Zi.,75 m²,locationGraz (Andritz)
"3.071,69 €",4 Zi.,175.79 m²,locationWörgl
"1.474,28 €",3 Zi.,69.91 m²,locationWien (Landstraße)
"1.024,25 €",2 Zi.,47.77 m²,locationWien (Landstraße)
"2.131,77 €",3 Zi.,100.94 m²,locationWien (Döbling)
"3.442,28 €",4 Zi.,153.4 m²,locationWien (Döbling)
"976,17 €",2 Zi.,42.8 m²,locationWien (Döbling)
auf Anfrage,2 Zi.,40 m²,locationEllmau
auf Anfrage,4 Zi.,165 m²,locationBad Hall
auf Anfrage,,44.34 m²,locationBad Hall
auf Anfrage,4 Zi.,,locationKrems an der Donau (Hollenburg)
auf Anfrage,3 Zi.,85 m²,locationBad Hall
auf Anfrage,3 Zi.,62 m²,locationPasching
auf Anfrage,3 Zi.,72 m²,locationMolln / Breitenau
"476,87 €",1.5 Zi.,35 m²,"locationGraz,04.Bez.:Lend (Lend)"
"3.034,47 €",4 Zi.,132 m²,locationWien (Landstraße)
1.899 €,3 Zi.,,locationWien (Josefstadt)
1.345 €,2 Zi.,82.26 m²,locationWien (Alsergrund)
"1.945,69 €",4 Zi.,109.55 m²,locationWien (Donaustadt)
"778,95 €",2 Zi.,47.56 m²,locationWien (Donaustadt)
"580,88 €",2.5 Zi.,34.59 m²,"locationGraz,17.Bez.:Puntigam (Puntigam)"
"784,43 €",2 Zi.,69.37 m²,locationSt. Pölten (St. Pölten)
900 €,2 Zi.,86 m²,locationRattenberg
"970,84 €",3 Zi.,72 m²,locationWien (Margareten)
"654,75 €",2 Zi.,56 m²,"locationWien,Leopoldstadt (Leopoldstadt)"
766 €,2 Zi.,40.53 m²,locationHall in Tirol
"1.163,95 €",3 Zi.,,locationWien (Brigittenau)
2.695 €,5 Zi.,161.4 m²,locationWien (Landstraße)
1.399 €,3 Zi.,77.69 m²,locationWien (Landstraße)
"1.795,01 €",3 Zi.,,locationWien (Leopoldstadt)
"812,20 €",2 Zi.,57 m²,locationWien (Rudolfsheim-Fünfhaus)
"801,77 €",3 Zi.,69.26 m²,locationWien (Ottakring)
"1.256,78 €",3 Zi.,88.64 m²,locationWien (Währing)
"687,78 €",2 Zi.,56 m²,locationWien (Penzing)
"768,72 €",3 Zi.,69.87 m²,locationWien (Ottakring)
1.300 €,4 Zi.,102.4 m²,locationGraz (Eggenberg)
"2.194,99 €",4 Zi.,130.92 m²,locationWien (Josefstadt)
"1.644,99 €",3 Zi.,98.82 m²,locationWien (Landstraße)
"1.921,80 €",3.5 Zi.,111.63 m²,locationWien (Brigittenau)
"613,46 €",1 Zi.,36.89 m²,locationLinz (Waldegg)
"752,37 €",2 Zi.,52.24 m²,locationLinz (Ufer)
1.795 €,4 Zi.,93.74 m²,locationWien (Landstraße)
1.795 €,4 Zi.,112.81 m²,locationWien (Alsergrund)
"428,81 €",1 Zi.,44 m²,locationWien (Ottakring)
"2.194,99 €",4 Zi.,141.14 m²,locationWien (Alsergrund)
1.098 €,3 Zi.,73.67 m²,locationWeigelsdorf
"1.099,01 €",2 Zi.,63.32 m²,locationWien (Floridsdorf)
"1.224,91 €",3 Zi.,87.67 m²,locationWien (Hernals)
"1.398,99 €",3 Zi.,88.95 m²,locationWien (Floridsdorf)
550 €,3 Zi.,80 m²,locationPusarnitz
"1.305,93 €",3 Zi.,72.64 m²,locationWien (Donaustadt)
"699,05 €",1 Zi.,36 m²,locationWien (Favoriten)
2.145 €,3.5 Zi.,104 m²,"locationWien, Innere Stadt / Wien 1., Innere Stadt (Innere Stadt)"
"1.411,72 €",3 Zi.,80.15 m²,locationWien (Donaustadt)
1.038 €,2 Zi.,65.36 m²,locationKorneuburg
2.695 €,5 Zi.,141.99 m²,locationWien (Wieden)
"1.246,08 €",3 Zi.,61.14 m²,locationWien (Donaustadt)
2.895 €,4 Zi.,143.3 m²,locationWien (Innere Stadt)
"1.297,08 €",3 Zi.,61.13 m²,locationWien (Donaustadt)
786 €,2 Zi.,55 m²,locationBregenz
"1.246,32 €",3 Zi.,61.46 m²,locationWien (Donaustadt)
"1.359,39 €",3 Zi.,78.42 m²,locationWien (Donaustadt)
"1.534,28 €",3 Zi.,78 m²,locationInnsbruck-Stadt (Pradl)
"825,11 €",2 Zi.,45.59 m²,locationWien (Donaustadt)
"599,11 €",2 Zi.,47.43 m²,locationGraz (Lend)
"599,11 €",2 Zi.,47.43 m²,locationGraz (Lend)
"814,50 €",2 Zi.,44.81 m²,locationWien (Donaustadt)
"694,63 €",2 Zi.,40.66 m²,locationWien (Favoriten)
"548,50 €",1 Zi.,,locationWien (Favoriten)
"599,98 €",2 Zi.,36 m²,locationWien (Döbling)
"815,21 €",2 Zi.,45.73 m²,locationWien (Donaustadt)
450 €,2 Zi.,50 m²,locationBad Waltersdorf
"1.086,84 €",2 Zi.,58.76 m²,locationWien (Landstraße)
"1.200,35 €",3 Zi.,65.53 m²,locationWien (Donaustadt)
"914,86 €",2 Zi.,44.1 m²,locationWien (Landstraße)
"1.054,25 €",3 Zi.,89.51 m²,locationWien (Brigittenau)
"819,01 €",2 Zi.,45.36 m²,"locationWien, Donaustadt (Donaustadt)"
"828,99 €",2 Zi.,45.66 m²,"locationWien, Donaustadt (Donaustadt)"
835 €,2 Zi.,45.66 m²,"locationWien, Donaustadt (Donaustadt)"
829 €,2 Zi.,46.2 m²,"locationWien, Donaustadt (Donaustadt)"
869 €,2 Zi.,46.03 m²,"locationWien, Donaustadt (Donaustadt)"
"795,19 €",2 Zi.,45.7 m²,locationWien (Donaustadt)
"631,15 €",2 Zi.,50 m²,locationGraz (Eggenberg)
869 €,2 Zi.,45.82 m²,"locationWien, Donaustadt (Donaustadt)"
"721,06 €",1 Zi.,37.76 m²,locationWiener Neudorf
855 €,2 Zi.,45.39 m²,"locationWien, Donaustadt (Donaustadt)"
859 €,2 Zi.,45.77 m²,"locationWien, Donaustadt (Donaustadt)"
855 €,2 Zi.,46.2 m²,"locationWien, Donaustadt (Donaustadt)"
"1.310,69 €",3 Zi.,65.84 m²,locationWien (Donaustadt)
"815,11 €",2 Zi.,45.59 m²,locationWien (Donaustadt)
"819,01 €",2 Zi.,45.06 m²,"locationWien, Donaustadt (Donaustadt)"
"815,21 €",2 Zi.,45.73 m²,locationWien (Donaustadt)
"530,40 €",2 Zi.,54.25 m²,locationLiezen
"1.290,70 €",3 Zi.,65.84 m²,locationWien (Donaustadt)
1.266 €,3 Zi.,80 m²,locationKufstein
"1.296,85 €",3 Zi.,60.79 m²,locationWien (Donaustadt)
"1.016,09 €",5.5 Zi.,115.92 m²,locationRotheau
"646,60 €",2 Zi.,60 m²,locationKorneuburg
"819,01 €",2 Zi.,33.63 m²,locationWien (Favoriten)
"848,24 €",2 Zi.,59.06 m²,locationGroß-Schweinbarth
"437,65 €",1 Zi.,47.03 m²,locationSt. Pölten (St. Pölten)
"951,16 €",5.5 Zi.,115.68 m²,locationRotheau
"850,34 €",2 Zi.,,locationKlosterneuburg
"892,78 €",3 Zi.,83.56 m²,locationWien (Favoriten)
"840,82 €",2 Zi.,82.18 m²,locationGraz (Gries)
"605,82 €",2 Zi.,59.05 m²,locationGraz (Gries)
"849,71 €",2 Zi.,47.11 m²,locationWien (Donaustadt)
"998,46 €",3 Zi.,54.17 m²,locationWien (Liesing)
"906,33 €",3 Zi.,85.24 m²,locationPöchlarn
