price,rooms,area,location
132.000 €,4 Zi.,89.95 m²,locationRiegersburg
124.000 €,1 Zi.,35.92 m²,locationWien (Floridsdorf)
358.000 €,,55.22 m²,locationNeustift im Stubaital
179.000 €,2 Zi.,69 m²,locationWels (Wispl)
495.000 €,4 Zi.,104.33 m²,locationKufstein
229.000 €,4 Zi.,67.5 m²,locationBad Waltersdorf
auf Anfrage,3 Zi.,54.56 m²,locationGötzis
auf Anfrage,3 Zi.,72.87 m²,locationHohenems
auf Anfrage,3 Zi.,120 m²,locationAurach bei Kitzbühel
145.534 €,2 Zi.,44.41 m²,locationOttendorf an der Rittschein
360.960 €,4 Zi.,78.8 m²,locationKalsdorf bei Graz
547.314 €,4 Zi.,123.17 m²,locationKalsdorf bei Graz
226.961 €,2 Zi.,36.89 m²,locationGraz (Eggenberg)
229.000 €,4 Zi.,67.5 m²,locationBad Waltersdorf
1.190.000 €,3 Zi.,86 m²,locationKIRCHBERG
324.000 €,2 Zi.,57.64 m²,locationAltenmarkt im Pongau
505.000 €,4 Zi.,89.63 m²,locationAltenmarkt im Pongau
531.000 €,4 Zi.,94.37 m²,locationAltenmarkt im Pongau
534.000 €,4 Zi.,94.81 m²,locationAltenmarkt im Pongau
505.000 €,4 Zi.,89.68 m²,locationAltenmarkt im Pongau
428.000 €,3 Zi.,75.96 m²,locationAltenmarkt im Pongau
337.000 €,2 Zi.,59.58 m²,locationAltenmarkt im Pongau
327.000 €,2 Zi.,58.13 m²,locationAltenmarkt im Pongau
337.000 €,2 Zi.,59.91 m²,locationAltenmarkt im Pongau
378.000 €,3 Zi.,67.12 m²,locationAltenmarkt im Pongau
380.000 €,3 Zi.,67.56 m²,locationAltenmarkt im Pongau
337.000 €,2 Zi.,59.87 m²,locationAltenmarkt im Pongau
327.000 €,2 Zi.,58.13 m²,locationAltenmarkt im Pongau
408.000 €,3 Zi.,72.52 m²,locationAltenmarkt im Pongau
375.000 €,3 Zi.,66.7 m²,locationAltenmarkt im Pongau
213.000 €,1 Zi.,25.5 m²,locationInnsbruck (Innsbruck)
428.000 €,3 Zi.,76.07 m²,locationAltenmarkt im Pongau
757.000 €,3 Zi.,118.96 m²,locationInnsbruck (Innsbruck)
337.000 €,2 Zi.,59.85 m²,locationAltenmarkt im Pongau
326.000 €,2 Zi.,58.02 m²,locationAltenmarkt im Pongau
337.000 €,2 Zi.,59.91 m²,locationAltenmarkt im Pongau
auf Anfrage,2 Zi.,,locationOberhofen im Inntal
337.000 €,2 Zi.,59.86 m²,locationAltenmarkt im Pongau
577.000 €,3 Zi.,97.11 m²,locationAltenmarkt im Pongau
558.000 €,3 Zi.,93.79 m²,locationAltenmarkt im Pongau
523.000 €,3 Zi.,87.95 m²,locationAltenmarkt im Pongau
492.000 €,3 Zi.,82.85 m²,locationAltenmarkt im Pongau
997.000 €,3 Zi.,120 m²,locationFieberbrunn
120.000 €,3 Zi.,46.41 m²,locationRadenthein
120.000 €,3 Zi.,46.41 m²,locationRadenthein
260.304 €,3 Zi.,95.7 m²,locationSemriach
420.000 €,3 Zi.,117.43 m²,"locationKlagenfurt,13.Bez.:Viktring (Viktring)"
356.000 €,2 Zi.,55.39 m²,locationStrobl
195.000 €,2 Zi.,52.01 m²,locationGraz (Jakomini)
458.500 €,3.5 Zi.,88.61 m²,locationEben im Pongau
auf Anfrage,4 Zi.,103 m²,locationDornbirn
336.000 €,2 Zi.,57.46 m²,locationWien (Döbling)
347.000 €,2 Zi.,53.46 m²,locationWien (Döbling)
637.050 €,3 Zi.,66.13 m²,locationWien (Döbling)
845.000 €,3 Zi.,94.77 m²,locationWien (Meidling)
765.000 €,4 Zi.,92.02 m²,locationWien (Wieden)
785.000 €,3 Zi.,88.26 m²,locationWien (Wieden)
1.390.000 €,3 Zi.,141.25 m²,locationWien (Wieden)
360.000 €,2 Zi.,60 m²,locationWien (Margareten)
615.000 €,3 Zi.,84.26 m²,locationWien (Margareten)
675.000 €,2 Zi.,70.14 m²,locationWien (Margareten)
1.399.000 €,4 Zi.,113.33 m²,locationWien (Alsergrund)
2.851.000 €,5 Zi.,228.46 m²,locationWien (Alsergrund)
845.000 €,3 Zi.,94.77 m²,locationWien (Meidling)
2.990.000 €,3.5 Zi.,181.44 m²,locationWien (Hietzing)
299.000 €,3.5 Zi.,98.58 m²,locationWien (Penzing)
249.000 €,2 Zi.,42.43 m²,locationWien (Rudolfsheim-Fünfhaus)
172.000 €,,,locationTauplitz
695.000 €,4 Zi.,122 m²,locationMödling
267.000 €,1 Zi.,36.07 m²,locationWien (Leopoldstadt)
625.000 €,3 Zi.,73.39 m²,locationWien (Leopoldstadt)
590.000 €,3 Zi.,86.21 m²,locationWien (Landstraße)
189.000 €,3 Zi.,63 m²,"locationWien, Favoriten (Favoriten)"
209.000 €,2 Zi.,37.56 m²,locationWien (Ottakring)
225.000 €,3 Zi.,83 m²,locationReutte
"275.000,72 €",2 Zi.,53.33 m²,locationWien (Donaustadt)
1.145.000 €,3 Zi.,104 m²,locationAttersee
"249.000,03 €",2 Zi.,45.26 m²,locationWien (Donaustadt)
797.000 €,4 Zi.,115.71 m²,locationLinz (Urfahr)
599.000 €,4 Zi.,100.68 m²,locationWien (Josefstadt)
499.000 €,4 Zi.,131 m²,locationWien (Penzing)
749.000 €,4 Zi.,101 m²,locationWien (Leopoldstadt)
349.000 €,3 Zi.,91 m²,locationWien (Liesing)
220.000 €,2 Zi.,60 m²,locationGmunden
1.384.000 €,4 Zi.,115 m²,locationWien (Döbling)
498.000 €,,,locationBad Kleinkirchheim
385.000 €,4 Zi.,,locationWalserfeld (Maxglan)
499.900 €,3 Zi.,101.45 m²,locationGraz (Sankt Leonhard)
340.892 €,3 Zi.,78 m²,locationKalsdorf bei Graz
"323.995,60 €",3 Zi.,76 m²,locationSeiersberg
130.000 €,2 Zi.,37 m²,locationGraz (Lend)
399.000 €,3 Zi.,104.03 m²,locationEbbs
488.700 €,3 Zi.,81.38 m²,locationWien (Floridsdorf)
auf Anfrage,,,locationHinterstoder
690.000 €,3.5 Zi.,99.92 m²,locationWien (Alsergrund)
347.000 €,3 Zi.,77 m²,locationLeopoldsdorf
429.000 €,3 Zi.,98.95 m²,locationLinz (Ebelsberg)
430.380 €,3 Zi.,58.97 m²,locationWien (Penzing)
339.000 €,3 Zi.,77 m²,locationGarsten
372.000 €,3 Zi.,79.45 m²,locationHofkirchen im Traunkreis
349.990 €,1 Zi.,33.9 m²,locationZell am See
499.990 €,2 Zi.,60.94 m²,locationZell am See
999.990 €,3 Zi.,82.63 m²,locationZell am See
389.990 €,2 Zi.,48.3 m²,locationZell am See
485.310 €,2 Zi.,69 m²,locationHinterstoder
597.738 €,3 Zi.,81 m²,locationHinterstoder
630.000 €,4.5 Zi.,100.52 m²,locationLeopoldsdorf
"499.500,03 €",3 Zi.,76.95 m²,locationWien (Währing)
"379.000,94 €",2 Zi.,57.75 m²,locationWien (Währing)
"597.600,50 €",3 Zi.,70.16 m²,locationWien (Währing)
"365.000,26 €",2 Zi.,57.95 m²,locationWien (Währing)
"349.000,08 €",2 Zi.,57.41 m²,locationWien (Währing)
"578.000,50 €",3 Zi.,73.79 m²,locationWien (Währing)
"449.000,68 €",3 Zi.,72.32 m²,locationWien (Währing)
"349.000,73 €",2 Zi.,42.43 m²,locationWien (Währing)
"299.000,36 €",2 Zi.,50.38 m²,locationWien (Währing)
"299.000,83 €",2 Zi.,53.22 m²,locationWien (Währing)
"698.300,29 €",3 Zi.,86.31 m²,locationWien (Währing)
"339.000,99 €",2 Zi.,56.51 m²,locationWien (Währing)
"449.900,62 €",1 Zi.,41.35 m²,locationWien (Donaustadt)
"399.900,50 €",1 Zi.,37.27 m²,locationWien (Donaustadt)
"379.000,12 €",2 Zi.,63.67 m²,locationWien (Währing)
